name,sensor22,sensor23,sensor24,sensor25,sensor27,sensor28,sensor29
Montag,1514.9312280701754,,1446.361391694725,1506.7274336283183,1656.7458333333334,1628.9055555555556,1419.5371785962477
Dienstag,1520.764918625678,,1446.4561403508771,1511.364513734224,1649.4840277777778,1623.9097222222222, 1417.382
Mittwoch,1517.3053846153846,,1439.6200274348423,1507.7044817927172,1652.1270833333333,1627.0125086865878,1415.6703832752614
Donnerstag,1511.3908163265305,,1433.72166538165,1509.9819494584838,1653.4069444444444,1632.297619047619,1418.28859527121
Freitag,1537.3396918561996,1502.647137150466,1425.3273073263558,1515.4801864801864,1654.6090169992608,1639.6951388888888,1424.8576642335763
Samstag,1543.2599277978338,,1430.8513761467889,1510.4584980237155,1657.017361111111,1637.7909722222223,1418.8671766342145
Sonntag,1511.0,,1430.1867940920938,1499.9672284644196,1648.8472222222222,1617.9322625698323,1416.0377622377623
