rm,time
,2021-11-18T00:34:11.8+00:00
,2021-11-18T00:38:11.69+00:00
,2021-11-18T00:42:11.703+00:00
1391.5,2021-11-18T00:46:11.752+00:00
1391.3,2021-11-18T00:50:11.703+00:00
1393.7,2021-11-18T00:54:11.674+00:00
1391.1,2021-11-18T00:58:11.846+00:00
1395.7,2021-11-18T01:02:11.703+00:00
1393.1,2021-11-18T01:06:11.69+00:00
1401.4,2021-11-18T01:10:11.827+00:00
1404.0,2021-11-18T01:14:11.753+00:00
1399.4,2021-11-18T01:23:11.899+00:00
1399.7,2021-11-18T01:27:11.854+00:00
1398.7,2021-11-18T01:31:11.822+00:00
1400.0,2021-11-18T01:35:11.892+00:00
1390.7,2021-11-18T01:39:11.982+00:00
1397.9,2021-11-18T01:43:11.893+00:00
1396.2,2021-11-18T01:47:11.969+00:00
1396.0,2021-11-18T01:51:11.91+00:00
1395.3,2021-11-18T01:55:11.881+00:00
1397.9,2021-11-18T01:59:11.968+00:00
1396.8,2021-11-18T02:03:11.883+00:00
1393.6,2021-11-18T02:07:11.961+00:00
1392.8,2021-11-18T02:11:11.899+00:00
1394.2,2021-11-18T02:15:11.901+00:00
1401.6,2021-11-18T02:19:12.207+00:00
1405.1,2021-11-18T02:23:11.883+00:00
1399.9,2021-11-18T02:27:11.877+00:00
1395.5,2021-11-18T02:31:11.963+00:00
1394.2,2021-11-18T02:35:12.059+00:00
1389.7,2021-11-18T02:39:11.963+00:00
1390.4,2021-11-18T02:43:12.062+00:00
1384.7,2021-11-18T04:46:14.052+00:00
1487.0,2021-11-18T04:46:26.062+00:00
1505.7,2021-11-18T04:46:32.364+00:00
1487.0,2021-11-18T04:46:39.944+00:00
1439.8,2021-11-18T04:46:49.039+00:00
1466.9,2021-11-18T04:46:57.026+00:00
1494.5,2021-11-18T04:47:06.262+00:00
1439.8,2021-11-18T04:47:12.224+00:00
1420.5,2021-11-18T04:47:21.631+00:00
1539.6,2021-11-18T04:47:29.367+00:00
1575.8,2021-11-18T04:47:35.146+00:00
1516.5,2021-11-18T04:51:12.269+00:00
1402.8,2021-11-18T04:55:12.345+00:00
1397.5,2021-11-18T04:59:12.168+00:00
1403.3,2021-11-18T05:03:12.349+00:00
1411.6,2021-11-18T05:07:12.232+00:00
1414.4,2021-11-18T05:11:12.249+00:00
1413.4,2021-11-18T05:15:12.262+00:00
1410.9,2021-11-18T05:19:12.301+00:00
1408.9,2021-11-18T05:23:12.391+00:00
1412.6,2021-11-18T05:27:12.294+00:00
1417.5,2021-11-18T05:31:12.393+00:00
1425.4,2021-11-18T05:35:12.308+00:00
1420.6,2021-11-18T05:39:12.396+00:00
1409.3,2021-11-18T05:43:12.592+00:00
1411.1,2021-11-18T05:47:12.354+00:00
1412.1,2021-11-18T05:51:12.523+00:00
1427.1,2021-11-18T05:55:12.413+00:00
1440.2,2021-11-18T05:59:12.496+00:00
1455.4,2021-11-18T06:03:13.256+00:00
1467.2,2021-11-18T06:07:12.594+00:00
1465.7,2021-11-18T06:11:14.691+00:00
1470.8,2021-11-18T06:15:14.559+00:00
1464.5,2021-11-18T06:19:12.601+00:00
1451.5,2021-11-18T06:23:12.507+00:00
1451.2,2021-11-18T06:27:12.518+00:00
1453.8,2021-11-18T06:31:12.504+00:00
1451.4,2021-11-18T06:35:12.478+00:00
1449.1,2021-11-18T06:39:12.498+00:00
1455.7,2021-11-18T06:43:12.596+00:00
1443.2,2021-11-18T06:47:12.495+00:00
1427.6,2021-11-18T06:51:12.532+00:00
1429.4,2021-11-18T06:55:12.53+00:00
1441.9,2021-11-18T06:59:12.528+00:00
1455.9,2021-11-18T07:03:12.615+00:00
1454.4,2021-11-18T07:07:12.583+00:00
1464.1,2021-11-18T07:11:12.635+00:00
1456.1,2021-11-18T07:15:12.57+00:00
1453.3,2021-11-18T07:19:13.179+00:00
1446.9,2021-11-18T07:23:12.599+00:00
1446.3,2021-11-18T07:27:12.809+00:00
1444.6,2021-11-18T07:31:12.711+00:00
1444.0,2021-11-18T07:35:16.57+00:00
1429.1,2021-11-18T07:39:12.723+00:00
1426.2,2021-11-18T07:43:13.194+00:00
1434.5,2021-11-18T07:47:12.708+00:00
1449.8,2021-11-18T07:51:13.008+00:00
1445.4,2021-11-18T07:55:12.859+00:00
1438.4,2021-11-18T07:59:12.725+00:00
1435.1,2021-11-18T08:03:12.715+00:00
1439.3,2021-11-18T08:07:12.716+00:00
1445.1,2021-11-18T08:11:12.695+00:00
1467.1,2021-11-18T08:15:12.718+00:00
1464.1,2021-11-18T08:19:12.793+00:00
1458.5,2021-11-18T08:23:13.036+00:00
1444.3,2021-11-18T08:27:12.717+00:00
1443.9,2021-11-18T08:31:12.91+00:00
1442.4,2021-11-18T08:35:12.704+00:00
1439.7,2021-11-18T08:39:12.879+00:00
1439.1,2021-11-18T08:43:13.589+00:00
1430.5,2021-11-18T08:47:12.796+00:00
1429.6,2021-11-18T08:51:12.69+00:00
1434.7,2021-11-18T08:55:12.825+00:00
1436.3,2021-11-18T08:59:12.966+00:00
1441.7,2021-11-18T09:03:12.802+00:00
1439.3,2021-11-18T09:07:12.794+00:00
1430.2,2021-11-18T09:11:12.866+00:00
1427.1,2021-11-18T09:15:12.83+00:00
1432.8,2021-11-18T09:19:12.979+00:00
1430.3,2021-11-18T09:23:12.846+00:00
1433.7,2021-11-18T09:27:12.816+00:00
1431.5,2021-11-18T09:31:12.81+00:00
1434.8,2021-11-18T09:35:12.909+00:00
1447.6,2021-11-18T09:39:12.986+00:00
1451.9,2021-11-18T09:43:12.917+00:00
1436.4,2021-11-18T09:47:12.92+00:00
1424.8,2021-11-18T09:51:13.052+00:00
1429.2,2021-11-18T09:55:13.203+00:00
1436.5,2021-11-18T09:59:12.938+00:00
1428.8,2021-11-18T10:03:12.909+00:00
1422.7,2021-11-18T10:07:13.019+00:00
1430.5,2021-11-18T10:11:12.973+00:00
1446.0,2021-11-18T10:15:13.016+00:00
1446.3,2021-11-18T10:19:13.012+00:00
1445.0,2021-11-18T10:23:13.132+00:00
1439.9,2021-11-18T10:27:13.042+00:00
1441.3,2021-11-18T10:31:12.982+00:00
1442.4,2021-11-18T10:35:13.094+00:00
1434.8,2021-11-18T10:39:13.006+00:00
1434.1,2021-11-18T10:43:13.038+00:00
1426.7,2021-11-18T10:47:13.08+00:00
1427.7,2021-11-18T10:51:13.055+00:00
1433.6,2021-11-18T10:55:13.018+00:00
1434.6,2021-11-18T10:59:13.115+00:00
1441.6,2021-11-18T11:03:13.066+00:00
1432.6,2021-11-18T11:07:13.057+00:00
1435.7,2021-11-18T11:11:13.08+00:00
1436.1,2021-11-18T11:15:13.049+00:00
1428.8,2021-11-18T11:19:13.124+00:00
1428.9,2021-11-18T11:23:13.207+00:00
1428.0,2021-11-18T11:27:13.109+00:00
1428.5,2021-11-18T11:31:13.108+00:00
1424.4,2021-11-18T11:35:13.362+00:00
1429.0,2021-11-18T11:39:13.233+00:00
1439.4,2021-11-18T11:43:13.242+00:00
1441.6,2021-11-18T11:47:13.199+00:00
1438.7,2021-11-18T11:51:13.269+00:00
1439.8,2021-11-18T11:55:13.227+00:00
1441.3,2021-11-18T11:59:13.396+00:00
1442.6,2021-11-18T12:03:13.236+00:00
1441.1,2021-11-18T12:07:13.241+00:00
1437.8,2021-11-18T12:11:13.272+00:00
1448.8,2021-11-18T12:15:13.294+00:00
1438.7,2021-11-18T12:19:13.309+00:00
1430.6,2021-11-18T12:23:13.317+00:00
1433.0,2021-11-18T12:27:13.263+00:00
1434.1,2021-11-18T12:31:13.284+00:00
1435.3,2021-11-18T12:35:13.363+00:00
1433.5,2021-11-18T12:39:13.417+00:00
1437.3,2021-11-18T12:43:13.356+00:00
1435.6,2021-11-18T12:47:13.494+00:00
1438.3,2021-11-18T12:51:13.322+00:00
1433.1,2021-11-18T12:55:13.431+00:00
1444.5,2021-11-18T12:59:13.422+00:00
1447.0,2021-11-18T13:03:13.321+00:00
1455.4,2021-11-18T13:07:13.34+00:00
1454.6,2021-11-18T13:11:13.447+00:00
1444.8,2021-11-18T13:15:13.824+00:00
1438.1,2021-11-18T13:19:13.624+00:00
1435.1,2021-11-18T13:23:13.529+00:00
1430.8,2021-11-18T13:27:13.646+00:00
1433.6,2021-11-18T13:31:13.465+00:00
1444.1,2021-11-18T13:35:13.515+00:00
1445.3,2021-11-18T13:39:13.48+00:00
1440.3,2021-11-18T13:43:13.428+00:00
1445.7,2021-11-18T13:47:13.415+00:00
1449.2,2021-11-18T13:51:13.494+00:00
1451.5,2021-11-18T13:55:13.532+00:00
1445.6,2021-11-18T13:59:13.701+00:00
1443.8,2021-11-18T14:03:13.552+00:00
1440.3,2021-11-18T14:07:13.499+00:00
1444.3,2021-11-18T14:11:13.812+00:00
1445.9,2021-11-18T14:15:23.057+00:00
1433.2,2021-11-18T14:24:31.026+00:00
1440.4,2021-11-18T14:30:20.151+00:00
1449.3,2021-11-18T14:35:13.852+00:00
1452.7,2021-11-18T14:39:13.942+00:00
1449.0,2021-11-18T14:43:13.861+00:00
1438.9,2021-11-18T14:47:13.826+00:00
1444.4,2021-11-18T14:51:13.917+00:00
