rm,time
,2021-11-18T00:00:43.495+00:00
,2021-11-18T00:04:43.445+00:00
,2021-11-18T00:08:43.606+00:00
1633.0,2021-11-18T00:12:43.491+00:00
1619.8,2021-11-18T00:16:43.469+00:00
1606.5,2021-11-18T00:20:43.468+00:00
1602.7,2021-11-18T00:24:43.395+00:00
1613.9,2021-11-18T00:28:43.405+00:00
1621.3,2021-11-18T00:32:43.672+00:00
1625.7,2021-11-18T00:36:43.513+00:00
1606.4,2021-11-18T00:40:43.38+00:00
1610.3,2021-11-18T00:44:43.479+00:00
1613.8,2021-11-18T00:48:43.456+00:00
1609.5,2021-11-18T00:52:43.494+00:00
1596.7,2021-11-18T00:56:43.376+00:00
1587.8,2021-11-18T01:00:43.381+00:00
1606.1,2021-11-18T01:04:43.488+00:00
1602.6,2021-11-18T01:08:43.384+00:00
1589.0,2021-11-18T01:12:43.583+00:00
1580.5,2021-11-18T01:16:43.374+00:00
1585.6,2021-11-18T01:20:43.39+00:00
1601.0,2021-11-18T01:24:43.375+00:00
1597.4,2021-11-18T01:28:43.449+00:00
1609.9,2021-11-18T01:32:43.457+00:00
1617.4,2021-11-18T01:36:43.42+00:00
1605.0,2021-11-18T01:40:43.385+00:00
1591.7,2021-11-18T01:44:43.391+00:00
1592.3,2021-11-18T01:48:43.498+00:00
1597.9,2021-11-18T01:52:43.384+00:00
1613.1,2021-11-18T01:56:43.467+00:00
1614.8,2021-11-18T02:00:43.377+00:00
1609.3,2021-11-18T02:04:43.373+00:00
1601.9,2021-11-18T02:08:43.447+00:00
1592.4,2021-11-18T02:12:43.432+00:00
1600.9,2021-11-18T02:16:43.366+00:00
1586.9,2021-11-18T02:20:43.399+00:00
1572.2,2021-11-18T02:24:43.568+00:00
1591.7,2021-11-18T02:28:43.456+00:00
1588.5,2021-11-18T02:32:43.401+00:00
1574.8,2021-11-18T02:36:43.444+00:00
1565.2,2021-11-18T02:40:43.483+00:00
1576.9,2021-11-18T02:44:43.481+00:00
1591.0,2021-11-18T02:48:43.396+00:00
1603.9,2021-11-18T02:52:43.386+00:00
1589.3,2021-11-18T02:56:43.502+00:00
1601.3,2021-11-18T03:00:43.378+00:00
1590.9,2021-11-18T03:04:43.44+00:00
1588.0,2021-11-18T03:08:43.484+00:00
1570.9,2021-11-18T03:12:43.403+00:00
1569.9,2021-11-18T03:16:43.505+00:00
1592.7,2021-11-18T03:20:43.387+00:00
1607.6,2021-11-18T03:24:43.404+00:00
1607.3,2021-11-18T03:28:43.476+00:00
1617.8,2021-11-18T03:32:43.471+00:00
1625.7,2021-11-18T03:36:43.485+00:00
1627.3,2021-11-18T03:40:43.451+00:00
1632.7,2021-11-18T03:44:43.392+00:00
1637.0,2021-11-18T03:48:43.393+00:00
1626.0,2021-11-18T03:52:43.494+00:00
1626.4,2021-11-18T03:56:43.397+00:00
1625.0,2021-11-18T04:00:43.404+00:00
1632.2,2021-11-18T04:04:43.398+00:00
1631.7,2021-11-18T04:08:43.493+00:00
1637.3,2021-11-18T04:12:43.493+00:00
1647.3,2021-11-18T04:16:43.374+00:00
1644.6,2021-11-18T04:20:43.411+00:00
1639.5,2021-11-18T04:24:43.407+00:00
1645.7,2021-11-18T04:28:43.462+00:00
