rm,time
,2021-11-18T00:00:02.46+00:00
,2021-11-18T00:04:02.399+00:00
,2021-11-18T00:08:02.499+00:00
1485.1,2021-11-18T00:12:02.508+00:00
1481.4,2021-11-18T00:16:02.489+00:00
1480.9,2021-11-18T00:20:02.502+00:00
1481.3,2021-11-18T00:24:02.497+00:00
1484.6,2021-11-18T00:28:02.469+00:00
1482.9,2021-11-18T00:51:02.552+00:00
1477.5,2021-11-18T00:55:02.551+00:00
1481.3,2021-11-18T00:59:02.57+00:00
1482.3,2021-11-18T01:03:02.573+00:00
1482.2,2021-11-18T01:07:02.583+00:00
1480.3,2021-11-18T01:11:02.583+00:00
1473.3,2021-11-18T01:15:02.59+00:00
1477.1,2021-11-18T01:19:02.563+00:00
1480.3,2021-11-18T01:23:02.583+00:00
1484.9,2021-11-18T01:27:02.596+00:00
1485.5,2021-11-18T01:31:02.554+00:00
1485.3,2021-11-18T01:35:02.59+00:00
1483.3,2021-11-18T01:39:02.665+00:00
1486.6,2021-11-18T01:43:02.567+00:00
1484.2,2021-11-18T01:47:02.646+00:00
1483.6,2021-11-18T01:51:02.686+00:00
1478.9,2021-11-18T01:55:02.663+00:00
1484.3,2021-11-18T01:59:02.68+00:00
1481.4,2021-11-18T02:03:02.707+00:00
1477.8,2021-11-18T02:07:02.641+00:00
1478.3,2021-11-18T02:11:02.687+00:00
1469.6,2021-11-18T02:15:02.698+00:00
1457.0,2021-11-18T02:19:02.66+00:00
1454.9,2021-11-18T02:23:02.789+00:00
1473.8,2021-11-18T02:27:02.779+00:00
1486.8,2021-11-18T02:31:02.672+00:00
1493.5,2021-11-18T02:35:02.798+00:00
1492.2,2021-11-18T02:39:02.697+00:00
1490.9,2021-11-18T02:43:02.764+00:00
1487.7,2021-11-18T02:47:02.772+00:00
1480.9,2021-11-18T02:51:02.781+00:00
1472.7,2021-11-18T02:55:02.795+00:00
1474.8,2021-11-18T02:59:02.765+00:00
1477.6,2021-11-18T03:03:02.892+00:00
1482.5,2021-11-18T03:07:02.792+00:00
1485.5,2021-11-18T03:11:02.862+00:00
1480.7,2021-11-18T03:15:02.891+00:00
1483.5,2021-11-18T03:19:02.775+00:00
1482.6,2021-11-18T03:23:02.895+00:00
1483.9,2021-11-18T03:27:02.897+00:00
1481.7,2021-11-18T03:31:02.854+00:00
1478.3,2021-11-18T03:35:02.883+00:00
1479.8,2021-11-18T03:39:02.921+00:00
1479.1,2021-11-18T03:43:02.876+00:00
1474.2,2021-11-18T03:47:02.882+00:00
1473.0,2021-11-18T03:51:02.896+00:00
1473.9,2021-11-18T03:55:02.871+00:00
1478.4,2021-11-18T03:59:02.888+00:00
1481.6,2021-11-18T04:03:03.252+00:00
1484.2,2021-11-18T04:07:02.886+00:00
1489.9,2021-11-18T04:11:02.977+00:00
1489.3,2021-11-18T04:15:02.998+00:00
1487.7,2021-11-18T04:19:02.902+00:00
1487.0,2021-11-18T04:23:03.059+00:00
1483.6,2021-11-18T04:27:02.988+00:00
1481.5,2021-11-18T04:31:02.978+00:00
1477.2,2021-11-18T04:35:02.999+00:00
1483.4,2021-11-18T04:39:03.075+00:00
1489.9,2021-11-18T04:43:02.969+00:00
1485.7,2021-11-18T04:47:03.192+00:00
1488.7,2021-11-18T04:51:03.114+00:00
1488.4,2021-11-18T04:55:03.087+00:00
1493.2,2021-11-18T04:59:03.061+00:00
1498.7,2021-11-18T05:03:03.101+00:00
1493.3,2021-11-18T05:07:03.066+00:00
1501.7,2021-11-18T05:11:03.096+00:00
1501.1,2021-11-18T05:15:03.06+00:00
1499.6,2021-11-18T05:28:13.723+00:00
1503.3,2021-11-18T05:59:12.3+00:00
1495.3,2021-11-18T06:07:08.276+00:00
1503.7,2021-11-18T06:11:07.971+00:00
1512.4,2021-11-18T06:15:07.654+00:00
1518.7,2021-11-18T06:59:07.875+00:00
1517.9,2021-11-18T07:03:03.814+00:00
1523.7,2021-11-18T07:08:07.184+00:00
1567.3,2021-11-18T07:32:52.673+00:00
1535.6,2021-11-18T07:33:22.846+00:00
1530.8,2021-11-18T07:37:03.573+00:00
1500.2,2021-11-18T07:41:12.303+00:00
1515.6,2021-11-18T07:45:06.082+00:00
1510.1,2021-11-18T07:49:07.503+00:00
1510.0,2021-11-18T08:42:03.784+00:00
1507.2,2021-11-18T08:46:03.513+00:00
1501.6,2021-11-18T08:50:03.699+00:00
1517.9,2021-11-18T08:54:03.667+00:00
1511.8,2021-11-18T09:00:14.19+00:00
1516.0,2021-11-18T09:27:24.111+00:00
1527.7,2021-11-18T09:29:50.28+00:00
1530.1,2021-11-18T09:36:05.026+00:00
1521.0,2021-11-18T09:42:07.7+00:00
1544.1,2021-11-18T10:01:07.044+00:00
1531.6,2021-11-18T10:09:04.245+00:00
1522.8,2021-11-18T10:17:07.73+00:00
1508.8,2021-11-18T10:21:11.613+00:00
1526.0,2021-11-18T10:25:04.426+00:00
1545.2,2021-11-18T10:36:04.204+00:00
1545.8,2021-11-18T10:40:07.018+00:00
1503.1,2021-11-18T10:48:04.795+00:00
1501.7,2021-11-18T11:03:04.095+00:00
1527.7,2021-11-18T11:07:04.135+00:00
1541.5,2021-11-18T11:11:04.1+00:00
1530.1,2021-11-18T11:15:04.015+00:00
1526.1,2021-11-18T11:20:04.128+00:00
1535.8,2021-11-18T11:24:03.986+00:00
1530.8,2021-11-18T11:28:04.131+00:00
1524.6,2021-11-18T11:32:04.108+00:00
1525.6,2021-11-18T11:36:04.092+00:00
1519.1,2021-11-18T11:40:04.012+00:00
1514.9,2021-11-18T11:44:04.078+00:00
1515.3,2021-11-18T11:52:07.603+00:00
1508.2,2021-11-18T13:15:05.964+00:00
1516.0,2021-11-18T13:19:05.91+00:00
1519.6,2021-11-18T13:23:13.485+00:00
1512.6,2021-11-18T13:39:08.045+00:00
1512.3,2021-11-18T13:45:04.61+00:00
1516.3,2021-11-18T13:50:04.402+00:00
1524.8,2021-11-18T13:54:05.884+00:00
1520.1,2021-11-18T14:19:07.138+00:00
1515.9,2021-11-18T17:37:12.946+00:00
1529.1,2021-11-18T17:41:13.737+00:00
1536.2,2021-11-18T17:48:10.677+00:00
1541.5,2021-11-18T17:53:10.718+00:00
1544.0,2021-11-18T17:57:10.895+00:00
1550.0,2021-11-18T18:01:28.213+00:00
1551.0,2021-11-18T18:05:11.458+00:00
1549.8,2021-11-18T18:09:10.85+00:00
1543.3,2021-11-18T18:14:10.907+00:00
1538.9,2021-11-18T18:18:12.122+00:00
1537.1,2021-11-18T18:36:14.008+00:00
1543.2,2021-11-18T18:40:10.692+00:00
1548.8,2021-11-18T18:44:12.58+00:00
1538.7,2021-11-18T18:48:10.868+00:00
1528.3,2021-11-18T18:52:10.834+00:00
