rm,time
,2021-11-18T16:56:16.336+00:00
,2021-11-18T17:04:13.743+00:00
,2021-11-18T17:08:13.854+00:00
1642.4,2021-11-18T17:12:14.018+00:00
1639.0,2021-11-18T17:16:13.704+00:00
1641.2,2021-11-18T17:20:13.726+00:00
1637.0,2021-11-18T17:24:13.897+00:00
1624.8,2021-11-18T17:28:13.725+00:00
1630.9,2021-11-18T17:32:14.217+00:00
1639.6,2021-11-18T17:36:13.848+00:00
1647.4,2021-11-18T17:40:13.801+00:00
1649.1,2021-11-18T17:44:13.783+00:00
1647.9,2021-11-18T17:48:13.831+00:00
1625.1,2021-11-18T17:52:13.77+00:00
1633.8,2021-11-18T17:56:13.728+00:00
1640.8,2021-11-18T18:00:13.725+00:00
1631.5,2021-11-18T18:04:13.713+00:00
1643.5,2021-11-18T18:08:13.742+00:00
1641.9,2021-11-18T18:12:13.819+00:00
1631.0,2021-11-18T18:16:13.685+00:00
1627.0,2021-11-18T18:20:13.739+00:00
1636.4,2021-11-18T18:24:13.846+00:00
1628.8,2021-11-18T18:28:13.707+00:00
1635.7,2021-11-18T18:32:13.809+00:00
1624.8,2021-11-18T18:36:13.753+00:00
1624.7,2021-11-18T18:40:13.742+00:00
1619.0,2021-11-18T18:44:13.716+00:00
1622.9,2021-11-18T18:48:13.732+00:00
1631.9,2021-11-18T18:52:13.716+00:00
1645.4,2021-11-18T18:56:13.909+00:00
1637.3,2021-11-18T19:00:13.762+00:00
1637.0,2021-11-18T19:04:13.825+00:00
1626.9,2021-11-18T19:08:13.755+00:00
1627.5,2021-11-18T19:12:13.731+00:00
1628.3,2021-11-18T19:16:13.737+00:00
1625.4,2021-11-18T19:20:13.855+00:00
1622.4,2021-11-18T19:24:13.743+00:00
1630.6,2021-11-18T19:28:13.687+00:00
1630.7,2021-11-18T19:32:13.898+00:00
1629.6,2021-11-18T19:36:13.74+00:00
1637.0,2021-11-18T19:40:13.72+00:00
1627.7,2021-11-18T19:44:13.715+00:00
1627.1,2021-11-18T19:48:13.774+00:00
1632.9,2021-11-18T19:52:13.767+00:00
1634.1,2021-11-18T19:56:13.755+00:00
1639.6,2021-11-18T20:00:13.73+00:00
1641.6,2021-11-18T20:04:13.731+00:00
1642.5,2021-11-18T20:08:13.708+00:00
1650.2,2021-11-18T20:12:13.79+00:00
1652.5,2021-11-18T20:16:13.69+00:00
1658.2,2021-11-18T20:20:13.724+00:00
1651.6,2021-11-18T20:24:13.767+00:00
1635.5,2021-11-18T20:28:13.731+00:00
1625.9,2021-11-18T20:32:13.731+00:00
1634.5,2021-11-18T20:36:13.716+00:00
1632.4,2021-11-18T20:40:13.753+00:00
1625.0,2021-11-18T20:44:13.732+00:00
1617.7,2021-11-18T20:48:13.707+00:00
1621.1,2021-11-18T20:52:13.729+00:00
1627.8,2021-11-18T20:56:13.729+00:00
1629.3,2021-11-18T21:00:13.718+00:00
1633.1,2021-11-18T21:04:13.683+00:00
1625.3,2021-11-18T21:08:13.694+00:00
1623.1,2021-11-18T21:12:13.795+00:00
1637.0,2021-11-18T21:16:14.079+00:00
1632.7,2021-11-18T21:20:13.692+00:00
1630.8,2021-11-18T21:24:13.703+00:00
1615.5,2021-11-18T21:28:13.71+00:00
1631.0,2021-11-18T21:32:13.77+00:00
1635.0,2021-11-18T21:36:13.761+00:00
1636.3,2021-11-18T21:40:13.744+00:00
1638.4,2021-11-18T21:44:13.712+00:00
1641.6,2021-11-18T21:48:13.692+00:00
1636.8,2021-11-18T21:52:13.773+00:00
1650.8,2021-11-18T21:56:13.716+00:00
1638.7,2021-11-18T22:00:13.701+00:00
1629.8,2021-11-18T22:04:13.684+00:00
1620.2,2021-11-18T22:08:13.715+00:00
1619.8,2021-11-18T22:12:13.805+00:00
1622.6,2021-11-18T22:16:13.711+00:00
1631.5,2021-11-18T22:20:13.711+00:00
1641.1,2021-11-18T22:24:13.758+00:00
1641.7,2021-11-18T22:28:13.718+00:00
1640.2,2021-11-18T22:32:13.806+00:00
1627.5,2021-11-18T22:36:13.722+00:00
1643.9,2021-11-18T22:40:13.721+00:00
1647.9,2021-11-18T22:44:13.71+00:00
1637.8,2021-11-18T22:48:13.71+00:00
1615.2,2021-11-18T22:52:13.77+00:00
1616.5,2021-11-18T22:56:13.749+00:00
1621.1,2021-11-18T23:00:13.806+00:00
1625.8,2021-11-18T23:04:13.765+00:00
1636.9,2021-11-18T23:08:13.692+00:00
1641.5,2021-11-18T23:12:13.701+00:00
1636.9,2021-11-18T23:16:13.695+00:00
1634.0,2021-11-18T23:20:13.697+00:00
1616.9,2021-11-18T23:24:13.703+00:00
1613.8,2021-11-18T23:28:13.761+00:00
1616.6,2021-11-18T23:32:13.798+00:00
1615.5,2021-11-18T23:36:13.797+00:00
1620.7,2021-11-18T23:40:13.667+00:00
1613.5,2021-11-18T23:44:13.799+00:00
1622.8,2021-11-18T23:48:13.714+00:00
1614.6,2021-11-18T23:52:13.791+00:00
1602.9,2021-11-18T23:56:13.709+00:00
1607.5,2021-11-19T00:00:13.739+00:00
1598.7,2021-11-19T00:04:13.703+00:00
1595.3,2021-11-19T00:08:13.764+00:00
1594.7,2021-11-19T00:12:13.797+00:00
1595.1,2021-11-19T00:16:13.767+00:00
1598.9,2021-11-19T00:20:13.769+00:00
1602.6,2021-11-19T00:24:13.789+00:00
1598.3,2021-11-19T00:28:13.738+00:00
1601.0,2021-11-19T00:32:13.811+00:00
1604.5,2021-11-19T00:36:13.8+00:00
1609.1,2021-11-19T00:40:13.773+00:00
1605.9,2021-11-19T00:44:13.759+00:00
1610.6,2021-11-19T00:48:13.759+00:00
1609.9,2021-11-19T00:52:13.772+00:00
1601.1,2021-11-19T00:56:13.82+00:00
1592.8,2021-11-19T01:00:13.759+00:00
1597.0,2021-11-19T01:04:13.775+00:00
1609.6,2021-11-19T01:08:13.777+00:00
1600.9,2021-11-19T01:12:13.804+00:00
1597.2,2021-11-19T01:16:13.764+00:00
1586.7,2021-11-19T01:20:13.787+00:00
1584.8,2021-11-19T01:24:13.819+00:00
1584.4,2021-11-19T01:28:13.761+00:00
1577.1,2021-11-19T01:32:13.803+00:00
1574.9,2021-11-19T01:36:13.781+00:00
1567.3,2021-11-19T01:40:13.785+00:00
1563.1,2021-11-19T01:44:13.751+00:00
1567.8,2021-11-19T01:48:13.687+00:00
1564.1,2021-11-19T01:52:13.781+00:00
1564.2,2021-11-19T01:56:13.777+00:00
1569.5,2021-11-19T02:00:13.751+00:00
1574.8,2021-11-19T02:04:13.684+00:00
1571.8,2021-11-19T02:08:13.78+00:00
1573.1,2021-11-19T02:12:13.781+00:00
1561.1,2021-11-19T02:16:13.74+00:00
1570.3,2021-11-19T02:20:13.769+00:00
1583.8,2021-11-19T02:24:13.787+00:00
1592.4,2021-11-19T02:28:13.79+00:00
1590.8,2021-11-19T02:32:13.801+00:00
1569.9,2021-11-19T02:36:13.776+00:00
1551.5,2021-11-19T02:40:13.804+00:00
1551.7,2021-11-19T02:44:13.765+00:00
1537.1,2021-11-19T02:48:13.771+00:00
1522.4,2021-11-19T02:52:13.681+00:00
1540.4,2021-11-19T02:56:13.758+00:00
1552.7,2021-11-19T03:00:13.782+00:00
1561.0,2021-11-19T03:04:13.8+00:00
1559.8,2021-11-19T03:08:13.809+00:00
1559.4,2021-11-19T03:12:13.788+00:00
1581.2,2021-11-19T03:16:13.78+00:00
1586.9,2021-11-19T03:20:13.754+00:00
1587.1,2021-11-19T03:24:13.865+00:00
1593.1,2021-11-19T03:28:13.668+00:00
1598.1,2021-11-19T03:32:13.775+00:00
1602.2,2021-11-19T03:36:13.778+00:00
1595.3,2021-11-19T03:40:13.747+00:00
1588.5,2021-11-19T03:44:14.057+00:00
1579.8,2021-11-19T03:48:13.783+00:00
1586.0,2021-11-19T03:52:13.759+00:00
1605.9,2021-11-19T03:56:13.777+00:00
1598.7,2021-11-19T04:00:13.754+00:00
1601.9,2021-11-19T04:04:13.79+00:00
1597.2,2021-11-19T04:08:13.83+00:00
1598.6,2021-11-19T04:12:13.807+00:00
1600.7,2021-11-19T04:16:13.775+00:00
1621.3,2021-11-19T04:20:13.797+00:00
1619.2,2021-11-19T04:24:13.775+00:00
1615.6,2021-11-19T04:28:13.786+00:00
1611.6,2021-11-19T04:32:13.772+00:00
1625.4,2021-11-19T04:36:13.799+00:00
1623.9,2021-11-19T04:40:13.76+00:00
1621.2,2021-11-19T04:44:13.804+00:00
1622.5,2021-11-19T04:48:13.789+00:00
1626.5,2021-11-19T04:52:13.855+00:00
1630.6,2021-11-19T04:56:13.775+00:00
1632.6,2021-11-19T05:00:13.779+00:00
