name,sensor22,sensor23,sensor24,sensor25,sensor27,sensor28,sensor29
Nachts,1466.012647187091,,1411.5509413067552,1487.0073855243722,1628.563492063492,1596.4217592592593,1412.5916666666667
Morgens,1558.148262208535,1541.5288461538462,1451.9983069977427,1524.3066818960594,1668.8153526970957,1648.0657657657655,1422.513922036595
Tags,1521.7210031347963,1533.7055555555555,1428.780397936625,1506.472691161867,1650.8454581203302,1628.1333333333334,1416.0833333333333
Abends,1546.4226380648106,1449.5993031358885,1445.365429779239,1519.875365141188,1665.1373015873016,1644.5727568572756,1421.3754432624114
