rm,time
1545.0,2021-11-18T16:30:42.114+00:00
1556.0,2021-11-18T16:34:42.007+00:00
1563.2,2021-11-18T16:38:42.252+00:00
1541.1,2021-11-18T16:42:42.29+00:00
1533.5,2021-11-18T16:46:42.184+00:00
1527.9,2021-11-18T16:50:42.055+00:00
1522.3,2021-11-18T16:54:42.095+00:00
1514.4,2021-11-18T16:58:42.119+00:00
1488.1,2021-11-18T17:03:42.187+00:00
1491.2,2021-11-18T17:07:42.788+00:00
1487.7,2021-11-18T17:11:42.294+00:00
1504.1,2021-11-18T17:15:50.75+00:00
1517.2,2021-11-18T17:19:42.298+00:00
1517.4,2021-11-18T17:23:42.478+00:00
1487.7,2021-11-18T17:27:55.818+00:00
1454.3,2021-11-18T17:32:42.351+00:00
1460.8,2021-11-18T17:36:42.682+00:00
1465.9,2021-11-18T17:40:42.13+00:00
1461.8,2021-11-18T17:44:42.349+00:00
1456.2,2021-11-18T17:48:42.284+00:00
1452.0,2021-11-18T17:52:42.304+00:00
1456.0,2021-11-18T17:56:42.814+00:00
1454.4,2021-11-18T18:00:42.264+00:00
1453.2,2021-11-18T18:04:42.277+00:00
1452.7,2021-11-18T18:08:42.398+00:00
1451.5,2021-11-18T18:12:45.111+00:00
1448.9,2021-11-18T18:16:42.54+00:00
1453.7,2021-11-18T18:20:42.213+00:00
1452.4,2021-11-18T18:24:42.539+00:00
1460.0,2021-11-18T18:28:42.493+00:00
1459.5,2021-11-18T18:32:42.273+00:00
1463.2,2021-11-18T18:36:42.515+00:00
1455.5,2021-11-18T18:40:42.336+00:00
1465.4,2021-11-18T18:44:42.472+00:00
1487.7,2021-11-18T18:48:42.726+00:00
1497.8,2021-11-18T18:52:44.535+00:00
1506.6,2021-11-18T18:56:42.515+00:00
1500.0,2021-11-18T19:00:44.654+00:00
1494.0,2021-11-18T19:04:42.232+00:00
1477.3,2021-11-18T19:08:42.57+00:00
1456.7,2021-11-18T19:12:42.234+00:00
1445.9,2021-11-18T19:16:42.282+00:00
1456.2,2021-11-18T19:20:42.454+00:00
1476.8,2021-11-18T19:24:42.303+00:00
1500.0,2021-11-18T19:28:42.303+00:00
1505.3,2021-11-18T19:32:42.384+00:00
1502.0,2021-11-18T19:36:42.313+00:00
1488.4,2021-11-18T19:40:43.392+00:00
1487.2,2021-11-18T19:44:42.507+00:00
1490.5,2021-11-18T19:48:42.471+00:00
1495.5,2021-11-18T19:52:42.293+00:00
1509.0,2021-11-18T19:56:42.329+00:00
1512.6,2021-11-18T20:00:48.476+00:00
1509.6,2021-11-18T20:04:42.533+00:00
1519.0,2021-11-18T20:08:42.449+00:00
1510.4,2021-11-18T20:12:47.462+00:00
1499.3,2021-11-18T20:16:42.438+00:00
1510.7,2021-11-18T20:20:42.338+00:00
1507.2,2021-11-18T20:24:42.469+00:00
1505.2,2021-11-18T20:28:42.411+00:00
1501.9,2021-11-18T20:32:42.476+00:00
1502.3,2021-11-18T20:36:42.447+00:00
1502.2,2021-11-18T20:40:42.391+00:00
1507.4,2021-11-18T20:44:42.381+00:00
1508.3,2021-11-18T20:48:42.412+00:00
1509.2,2021-11-18T20:52:42.386+00:00
1502.2,2021-11-18T20:56:42.399+00:00
1486.7,2021-11-18T21:00:42.425+00:00
1492.5,2021-11-18T21:04:42.308+00:00
1494.5,2021-11-18T21:08:42.491+00:00
1493.9,2021-11-18T21:12:45.192+00:00
1502.0,2021-11-18T21:16:42.408+00:00
1519.7,2021-11-18T21:20:42.469+00:00
